variant,accuracy_mean,accuracy_std,f1_mean,f1_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,fp_rate_mean,fp_rate_std,fault_recall_mean,fault_recall_std,fp_reduction_mean,fp_reduction_std
Full CAAA,0.9580,0.0289,0.9579,0.0291,0.9579,0.0291,0.9191,0.0544,0.0640,0.0599,0.9800,0.0268,0.9360,0.0599
CAAA + Contrastive,0.9680,0.0183,0.9680,0.0184,0.9680,0.0184,0.9379,0.0354,0.0480,0.0392,0.9840,0.0265,0.9520,0.0392
CAAA (clamp loss),0.9580,0.0289,0.9579,0.0291,0.9579,0.0291,0.9191,0.0544,0.0640,0.0599,0.9800,0.0268,0.9360,0.0599
CAAA (full penalty),0.9300,0.0431,0.9296,0.0437,0.9296,0.0437,0.8656,0.0801,0.0760,0.0726,0.9360,0.0742,0.9240,0.0726
No Context Features,0.9460,0.0269,0.9459,0.0271,0.9459,0.0271,0.8938,0.0518,0.0680,0.0475,0.9600,0.0310,0.9320,0.0475
No Context Loss,0.9620,0.0289,0.9620,0.0289,0.9620,0.0289,0.9247,0.0579,0.0440,0.0377,0.9680,0.0299,0.9560,0.0377
No Behavioral,0.9580,0.0140,0.9580,0.0140,0.9580,0.0140,0.9178,0.0274,0.0600,0.0322,0.9760,0.0265,0.9400,0.0322
Context Only,0.9580,0.0227,0.9579,0.0228,0.9579,0.0228,0.9175,0.0443,0.0480,0.0392,0.9640,0.0332,0.9520,0.0392
Statistical Only,0.9340,0.0201,0.9339,0.0202,0.9339,0.0202,0.8713,0.0400,0.0960,0.0320,0.9640,0.0418,0.9040,0.0320
Stat + Service-Level,0.9560,0.0215,0.9559,0.0216,0.9559,0.0216,0.9140,0.0426,0.0640,0.0367,0.9760,0.0320,0.9360,0.0367
Baseline RF,0.9400,0.0179,0.9399,0.0180,0.9399,0.0180,0.8835,0.0342,0.0800,0.0506,0.9600,0.0358,0.9200,0.0506
XGBoost,0.9360,0.0307,0.9359,0.0308,0.9359,0.0308,0.8732,0.0609,0.0640,0.0408,0.9360,0.0408,0.9360,0.0408
LightGBM,0.9440,0.0233,0.9439,0.0234,0.9439,0.0234,0.8903,0.0462,0.0640,0.0408,0.9520,0.0431,0.9360,0.0408
CatBoost,0.9560,0.0196,0.9559,0.0196,0.9559,0.0196,0.9139,0.0388,0.0440,0.0418,0.9560,0.0332,0.9560,0.0418
CatBoost (with context),0.9820,0.0166,0.9820,0.0166,0.9820,0.0166,0.9642,0.0332,0.0240,0.0196,0.9880,0.0183,0.9760,0.0196
CAAA+CatBoost Hybrid,0.9640,0.0265,0.9640,0.0265,0.9640,0.0265,0.9288,0.0532,0.0440,0.0280,0.9720,0.0360,0.9560,0.0280
Rule-Based,0.5900,0.0492,0.5402,0.0648,0.5402,0.0648,0.2299,0.1128,0.0880,0.0240,0.2680,0.0859,0.9120,0.0240
Naive,0.5000,0.0000,0.3333,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000
