variant,accuracy_mean,accuracy_std,f1_mean,f1_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,fp_rate_mean,fp_rate_std,fault_recall_mean,fault_recall_std,fp_reduction_mean,fp_reduction_std
Full CAAA,0.9620,0.0189,0.9620,0.0189,0.9620,0.0189,0.9255,0.0370,0.0160,0.0196,0.9400,0.0322,0.9840,0.0196
CAAA + Contrastive,0.9660,0.0237,0.9659,0.0238,0.9659,0.0238,0.9342,0.0455,0.0240,0.0367,0.9560,0.0454,0.9760,0.0367
CAAA (clamp loss),0.9620,0.0189,0.9620,0.0189,0.9620,0.0189,0.9255,0.0370,0.0160,0.0196,0.9400,0.0322,0.9840,0.0196
CAAA (full penalty),0.8720,0.0392,0.8713,0.0392,0.8713,0.0392,0.7527,0.0798,0.1880,0.0508,0.9320,0.0671,0.8120,0.0508
No Context Features,0.9480,0.0349,0.9479,0.0350,0.9479,0.0350,0.8983,0.0687,0.0360,0.0332,0.9320,0.0595,0.9640,0.0332
No Context Loss,0.9560,0.0215,0.9559,0.0216,0.9559,0.0216,0.9146,0.0418,0.0400,0.0400,0.9520,0.0466,0.9600,0.0400
No Behavioral,0.9580,0.0316,0.9578,0.0320,0.9578,0.0320,0.9193,0.0577,0.0400,0.0693,0.9560,0.0332,0.9600,0.0693
Context Only,0.8700,0.0257,0.8695,0.0257,0.8695,0.0257,0.7458,0.0527,0.1200,0.0669,0.8600,0.0651,0.8800,0.0669
Statistical Only,0.9500,0.0361,0.9498,0.0363,0.9498,0.0363,0.9029,0.0691,0.0560,0.0571,0.9560,0.0520,0.9440,0.0571
Stat + Service-Level,0.9380,0.0540,0.9374,0.0554,0.9374,0.0554,0.8819,0.0996,0.0640,0.1031,0.9400,0.0573,0.9360,0.1031
Baseline RF,0.9720,0.0204,0.9720,0.0204,0.9720,0.0204,0.9450,0.0404,0.0160,0.0265,0.9600,0.0310,0.9840,0.0265
XGBoost,0.9600,0.0358,0.9599,0.0359,0.9599,0.0359,0.9228,0.0696,0.0240,0.0408,0.9440,0.0599,0.9760,0.0408
LightGBM,0.9780,0.0166,0.9780,0.0166,0.9780,0.0166,0.9571,0.0323,0.0040,0.0120,0.9600,0.0310,0.9960,0.0120
CatBoost,0.9720,0.0183,0.9720,0.0183,0.9720,0.0183,0.9449,0.0364,0.0160,0.0265,0.9600,0.0253,0.9840,0.0265
CatBoost (with context),0.9700,0.0286,0.9700,0.0286,0.9700,0.0286,0.9405,0.0571,0.0200,0.0268,0.9600,0.0358,0.9800,0.0268
CAAA+CatBoost Hybrid,0.9680,0.0204,0.9680,0.0204,0.9680,0.0204,0.9378,0.0396,0.0080,0.0160,0.9440,0.0367,0.9920,0.0160
Rule-Based,0.6580,0.0352,0.6155,0.0481,0.6155,0.0481,0.4169,0.0635,0.0160,0.0196,0.3320,0.0717,0.9840,0.0196
Naive,0.5000,0.0000,0.3333,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000
