variant,accuracy_mean,accuracy_std,f1_mean,f1_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,fp_rate_mean,fp_rate_std,fault_recall_mean,fault_recall_std,fp_reduction_mean,fp_reduction_std
Full CAAA,0.9405,0.0315,0.9403,0.0319,0.9402,0.0320,0.8856,0.0601,0.0386,0.0659,0.9196,0.0497,0.9614,0.0659
CAAA + Contrastive,0.9297,0.0346,0.9295,0.0349,0.9294,0.0350,0.8631,0.0676,0.0494,0.0678,0.9085,0.0431,0.9506,0.0678
CAAA (clamp loss),0.9405,0.0315,0.9403,0.0319,0.9402,0.0320,0.8856,0.0601,0.0386,0.0659,0.9196,0.0497,0.9614,0.0659
CAAA (full penalty),0.9135,0.0480,0.9130,0.0490,0.9128,0.0492,0.8311,0.0919,0.0982,0.0951,0.9246,0.0442,0.9018,0.0951
No Context Features,0.9162,0.0372,0.9160,0.0374,0.9159,0.0375,0.8343,0.0739,0.0763,0.0503,0.9079,0.0569,0.9237,0.0503
No Context Loss,0.9459,0.0320,0.9457,0.0322,0.9457,0.0322,0.8960,0.0618,0.0330,0.0565,0.9243,0.0558,0.9670,0.0565
No Behavioral,0.9351,0.0324,0.9349,0.0327,0.9348,0.0328,0.8740,0.0635,0.0550,0.0657,0.9246,0.0501,0.9450,0.0657
Context Only,0.8919,0.0616,0.8913,0.0626,0.8911,0.0629,0.7888,0.1222,0.1044,0.1092,0.8874,0.0605,0.8956,0.1092
Statistical Only,0.8865,0.0480,0.8861,0.0485,0.8859,0.0487,0.7759,0.0947,0.1038,0.0759,0.8760,0.0619,0.8962,0.0759
Stat + Service-Level,0.9054,0.0405,0.9052,0.0408,0.9050,0.0409,0.8134,0.0808,0.0766,0.0618,0.8868,0.0529,0.9234,0.0618
Baseline RF,0.9486,0.0307,0.9486,0.0308,0.9485,0.0309,0.8994,0.0607,0.0216,0.0265,0.9196,0.0445,0.9784,0.0265
XGBoost,0.9324,0.0516,0.9323,0.0517,0.9323,0.0517,0.8672,0.1023,0.0547,0.0491,0.9199,0.0725,0.9453,0.0491
LightGBM,0.9405,0.0359,0.9404,0.0360,0.9404,0.0360,0.8838,0.0699,0.0377,0.0341,0.9196,0.0598,0.9623,0.0341
CatBoost,0.9514,0.0359,0.9511,0.0361,0.9511,0.0361,0.9080,0.0665,0.0111,0.0222,0.9146,0.0722,0.9889,0.0222
CatBoost (with context),0.9216,0.0372,0.9213,0.0375,0.9213,0.0375,0.8499,0.0711,0.0652,0.0795,0.9096,0.0635,0.9348,0.0795
CAAA+CatBoost Hybrid,0.9432,0.0255,0.9431,0.0256,0.9430,0.0257,0.8906,0.0498,0.0275,0.0511,0.9140,0.0431,0.9725,0.0511
Rule-Based,0.6216,0.0498,0.6153,0.0539,0.6144,0.0548,0.2465,0.1035,0.4927,0.0957,0.7330,0.0381,0.5073,0.0957
Naive,0.5054,0.0124,0.3394,0.0138,0.3357,0.0055,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000
