variant,accuracy_mean,accuracy_std,f1_mean,f1_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,fp_rate_mean,fp_rate_std,fault_recall_mean,fault_recall_std,fp_reduction_mean,fp_reduction_std
Full CAAA,0.9139,0.0420,0.9132,0.0431,0.9132,0.0431,0.8347,0.0760,0.1278,0.0862,0.9556,0.0416,0.8722,0.0862
CAAA + Contrastive,0.9083,0.0528,0.9081,0.0529,0.9081,0.0529,0.8208,0.1053,0.1222,0.0598,0.9389,0.0722,0.8778,0.0598
CAAA (clamp loss),0.9139,0.0420,0.9132,0.0431,0.9132,0.0431,0.8347,0.0760,0.1278,0.0862,0.9556,0.0416,0.8722,0.0862
CAAA (full penalty),0.8833,0.0444,0.8820,0.0455,0.8820,0.0455,0.7815,0.0833,0.2056,0.0747,0.9722,0.0448,0.7944,0.0747
No Context Features,0.8806,0.0482,0.8799,0.0486,0.8799,0.0486,0.7685,0.0945,0.1611,0.0764,0.9222,0.0711,0.8389,0.0764
No Context Loss,0.9139,0.0456,0.9136,0.0457,0.9136,0.0457,0.8328,0.0906,0.1167,0.0722,0.9444,0.0556,0.8833,0.0722
No Behavioral,0.9111,0.0408,0.9108,0.0411,0.9108,0.0411,0.8261,0.0799,0.1222,0.0598,0.9444,0.0497,0.8778,0.0598
Context Only,0.7611,0.0484,0.7583,0.0496,0.7583,0.0496,0.5334,0.0943,0.2833,0.1124,0.8056,0.0970,0.7167,0.1124
Statistical Only,0.8306,0.0548,0.8292,0.0551,0.8292,0.0551,0.6720,0.1111,0.2056,0.0788,0.8667,0.1144,0.7944,0.0788
Stat + Service-Level,0.8750,0.0531,0.8739,0.0536,0.8739,0.0536,0.7625,0.1049,0.1444,0.0903,0.8944,0.1151,0.8556,0.0903
Baseline RF,0.9111,0.0553,0.9104,0.0559,0.9104,0.0559,0.8316,0.1057,0.1500,0.0931,0.9722,0.0448,0.8500,0.0931
XGBoost,0.9083,0.0413,0.9078,0.0416,0.9078,0.0416,0.8240,0.0798,0.1389,0.0795,0.9556,0.0416,0.8611,0.0795
LightGBM,0.9250,0.0250,0.9249,0.0250,0.9249,0.0250,0.8533,0.0500,0.0889,0.0509,0.9389,0.0461,0.9111,0.0509
CatBoost,0.9278,0.0468,0.9276,0.0468,0.9276,0.0468,0.8593,0.0935,0.0944,0.0660,0.9500,0.0580,0.9056,0.0660
CatBoost (with context),0.9333,0.0451,0.9332,0.0452,0.9332,0.0452,0.8693,0.0900,0.0833,0.0669,0.9500,0.0461,0.9167,0.0669
CAAA+CatBoost Hybrid,0.9167,0.0596,0.9165,0.0597,0.9165,0.0597,0.8364,0.1188,0.1056,0.0722,0.9389,0.0678,0.8944,0.0722
Rule-Based,0.6000,0.0356,0.5540,0.0427,0.5540,0.0427,0.2636,0.0989,0.7167,0.0580,0.9167,0.0569,0.2833,0.0580
Naive,0.5000,0.0000,0.3333,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000
