variant,accuracy_mean,accuracy_std,f1_mean,f1_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,fp_rate_mean,fp_rate_std,fault_recall_mean,fault_recall_std,fp_reduction_mean,fp_reduction_std
Full CAAA,0.9250,0.0634,0.9246,0.0638,0.9246,0.0638,0.8555,0.1236,0.0833,0.0870,0.9333,0.0853,0.9167,0.0870
CAAA + Contrastive,0.9222,0.0408,0.9217,0.0413,0.9217,0.0413,0.8514,0.0769,0.0889,0.0667,0.9333,0.0853,0.9111,0.0667
CAAA (clamp loss),0.9250,0.0634,0.9246,0.0638,0.9246,0.0638,0.8555,0.1236,0.0833,0.0870,0.9333,0.0853,0.9167,0.0870
CAAA (full penalty),0.9139,0.0575,0.9126,0.0603,0.9126,0.0603,0.8387,0.1037,0.1389,0.1172,0.9667,0.0509,0.8611,0.1172
No Context Features,0.9139,0.0472,0.9132,0.0478,0.9132,0.0478,0.8366,0.0880,0.1000,0.0816,0.9278,0.0931,0.9000,0.0816
No Context Loss,0.9222,0.0478,0.9218,0.0483,0.9218,0.0483,0.8497,0.0914,0.0778,0.0711,0.9222,0.0793,0.9222,0.0711
No Behavioral,0.9361,0.0482,0.9359,0.0484,0.9359,0.0484,0.8751,0.0945,0.0722,0.0558,0.9444,0.0703,0.9278,0.0558
Context Only,0.6833,0.0484,0.6606,0.0624,0.6606,0.0624,0.4246,0.0893,0.5333,0.1453,0.9000,0.1048,0.4667,0.1453
Statistical Only,0.7556,0.0509,0.7532,0.0539,0.7532,0.0539,0.5184,0.0996,0.2278,0.0722,0.7389,0.1244,0.7722,0.0722
Stat + Service-Level,0.9000,0.0451,0.8995,0.0453,0.8995,0.0453,0.8065,0.0894,0.0833,0.0714,0.8833,0.0803,0.9167,0.0714
Baseline RF,0.9417,0.0315,0.9414,0.0318,0.9414,0.0318,0.8882,0.0592,0.0333,0.0369,0.9167,0.0714,0.9667,0.0369
XGBoost,0.9306,0.0378,0.9302,0.0383,0.9302,0.0383,0.8656,0.0701,0.0389,0.0356,0.9000,0.0737,0.9611,0.0356
LightGBM,0.9361,0.0352,0.9360,0.0353,0.9360,0.0353,0.8755,0.0697,0.0500,0.0524,0.9222,0.0567,0.9500,0.0524
CatBoost,0.9444,0.0304,0.9442,0.0307,0.9442,0.0307,0.8941,0.0564,0.0222,0.0369,0.9111,0.0667,0.9778,0.0369
CatBoost (with context),0.9639,0.0306,0.9637,0.0308,0.9637,0.0308,0.9317,0.0569,0.0000,0.0000,0.9278,0.0611,1.0000,0.0000
CAAA+CatBoost Hybrid,0.9361,0.0413,0.9357,0.0418,0.9357,0.0418,0.8776,0.0773,0.0667,0.0598,0.9389,0.0803,0.9333,0.0598
Rule-Based,0.5000,0.0000,0.3333,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000
Naive,0.5000,0.0000,0.3333,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000
